,RA,DEC
603,37.956077,-39.25338
604,38.012176,-34.434946
605,38.041338,-44.622069
606,38.054747,-44.671318
607,38.135112,-1.318151
608,38.14801,-39.250282
609,38.159187,-1.033774
610,38.288745,-39.116332
611,38.354077,-47.195622
612,38.390695,-39.459794
613,38.43859,-40.307287
614,38.4633,-39.250002
615,38.492762,-39.505112
616,38.527142,-38.600569
617,38.531011,-0.735238
618,38.545893,-0.79983
619,38.572715,-30.128
620,38.585271,-38.763841
621,38.599908,-35.551041
622,38.615386,-0.760413
623,38.715515,-0.942677
624,38.774396,-40.016367
625,38.798101,-50.376851
626,38.840663,-30.343323
627,38.92634,-50.59812
628,38.977274,-0.354453
629,39.056388,-0.701164
630,39.068876,-0.872544
631,39.144548,-1.270938
632,39.181355,-51.39521
633,39.241119,-50.34914
634,39.347462,-40.26166
635,39.377582,-50.89316
636,39.387135,-39.802794
637,39.496721,-1.344334
638,39.520293,-0.284637
639,39.567247,-40.509271
640,39.579997,-50.654133
641,39.591586,-1.324274
642,39.742082,-51.240213
643,39.838597,-35.630852
644,39.954851,-50.061136
645,40.019313,-51.237059
646,40.03761,-0.911937
647,40.122443,-50.373351
648,40.160002,-31.043475
649,40.201569,-0.95414
650,40.302015,-35.143495
651,40.351416,-50.741177
652,40.432759,-30.257298
653,40.475664,-35.533296
654,40.508856,-1.24969
655,40.539399,-35.266967
656,40.596131,-30.273539
657,40.659736,-30.163506
658,40.667754,-50.627259
659,40.687468,-50.332766
660,40.930108,-34.690445
661,41.133731,-50.46381
662,41.353219,-1.00734
663,41.392495,1.132143
664,41.648337,-1.283004
665,41.711092,-35.288057
666,41.751691,-30.168951
667,41.772605,-30.151771
668,41.837212,-30.072639
669,41.884718,0.552214
670,41.890041,-0.840161
671,41.970144,-1.370243
672,42.041885,-1.503152
673,42.070362,-0.184338
674,42.085459,-1.033765
675,42.118672,-0.537267
676,42.127402,-34.061524
677,42.158678,-54.062104
678,42.217932,-0.512219
679,42.247124,-0.50293
680,42.274178,-0.717097
681,42.275879,-0.581895
682,42.301041,-0.822343
683,42.34232,-1.192923
684,42.346752,-0.749337
685,42.349432,-0.824305
686,42.372586,-1.051225
687,42.39192,-53.772469
688,42.445838,-1.177492
689,42.456516,-54.948822
690,42.550323,-54.828975
691,42.567918,0.06931
692,42.707394,-1.016576
693,42.717976,-35.366306
694,42.783495,-0.751336
695,42.814666,-0.705237
696,42.817276,-35.245826
697,42.895576,-1.101419
698,42.900684,-34.99229
699,42.973662,-34.922427
700,42.982631,-0.7149
701,43.000132,-1.151332
702,43.026741,-1.012955
703,43.095346,-1.040655
704,43.157196,-1.354098
705,43.160367,-1.155186
706,43.191501,-54.030563
707,43.194166,-1.064752
708,43.203065,-1.308905
709,43.213975,-35.409475
710,43.294714,1.378887
